"検索件数","26"
"受渡日","2022/11/8-2026/5/18"
"種類","すべて"
"口座","すべて"

"商品","受取額(税引後・円)","受取額(税引後・USD)"
"国内株式(現物)","4,345",
"米国株式","10,644.17","67.56"
"投資信託","3,686",
"合計","18,675.17",

"受渡日","口座","商品","銘柄名","数量","受取額(税引後・円)"
"2026/4/30","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","37,849","454"
"2026/4/27","特定/一般","米国株式","オラクル ORCL","11","629"
"2026/4/16","NISA（成長投資枠）","米国株式","マイクロン テクノロジー MU","10","213.17"
"2026/4/2","NISA（成長投資枠）","米国株式","アングロゴールド アシャンテ AU","44","6,036.31"
"2026/3/27","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","37,849","568"
"2026/3/11","NISA（成長投資枠）","米国株式","エクソン モービル XOM","15","2,180.11"
"2026/3/2","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","37,849","454"
"2026/1/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","37,849","454"
"2026/1/26","特定/一般","米国株式","オラクル ORCL","11","621.02"
"2025/12/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","37,849","455"
"2025/12/24","特定/一般","米国株式","メタ プラットフォームズ A META","6","355.11"
"2025/12/1","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2025/10/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2025/10/24","特定/一般","米国株式","オラクル ORCL","7","382.68"
"2025/9/30","特定/一般","米国株式","メタ プラットフォームズ A META","4","225.27"
"2025/9/30","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2025/8/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2025/7/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2025/6/27","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","140"
"2025/6/25","NISA（成長投資枠）","国内株式(現物)","上新電機 8173","1","100"
"2025/6/23","特定/一般","国内株式(現物)","三菱商事 8058","100","3,985"
"2025/5/29","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","154"
"2025/4/30","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","173"
"2025/3/28","特定/一般","投資信託","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）","11,520","139"
"2024/11/29","NISA（成長投資枠）","国内株式(現物)","日本電信電話 9432","100","260"
"2024/10/4","NISA（成長投資枠）","米国株式","エヌビディア NVDA","1","1.46"

