"国内株式"

"検索件数","32"
"約定日","2023/6/25-2026/5/18"
"種類","現物"
"口座","すべて"

"商品","実現損益(税引前・円)","利益金額(円)","損失金額(円)"
"現物","+623,767","701,950","-78,183"
"合計","+623,767","701,950","-78,183"

"約定日","口座","銘柄名","取引","数量","売却/決済額","単価","平均取得価額","実現損益(税引前・円)"
"2026/5/12","特定","住友電気工業 5802","売却","100","1,100,000","11,000","10,661","+33,900"
"2026/3/10","特定","村田製作所 6981","売却","100","369,980","3,699.8","3,702","-220"
"2026/3/9","NISA（成長投資枠）","住友金属鉱山 5713","売却","100","943,020","9,430.2","6,420","+301,020"
"2026/3/2","特定","浜松ホトニクス 6965","売却","100","201,100","2,011","2,035","-2,400"
"2026/2/26","特定","メタプラネット 3350","売却","500","162,500","325","320","+2,500"
"2025/12/29","特定","Ｓｙｎｓｐｅｃｔｉｖｅ 290A","売却","300","354,000","1,180","1,265","-25,500"
"2025/12/26","特定","ファナック 6954","売却","100","598,000","5,980","5,911","+6,900"
"2025/12/15","特定","Ｓｙｎｓｐｅｃｔｉｖｅ 290A","売却","300","366,600","1,222","1,220","+600"
"2025/12/11","特定","ファナック 6954","売却","100","613,000","6,130","6,200","-7,000"
"2025/11/7","特定","ディー・エヌ・エー 2432","売却","100","262,300","2,623","3,047","-42,400"
"2025/10/17","NISA（成長投資枠）","メタプラネット 3350","売却","400","159,600","399","298","+40,400"
"2025/10/9","特定","メタプラネット 3350","売却","200","111,520","557.6","547","+2,120"
"2025/5/23","特定","リミックスポイント 3825","売却","600","315,000","525","502","+13,800"
"2025/5/15","特定","三菱商事 8058","売却","100","283,900","2,839","2,827","+1,200"
"2025/5/14","NISA（成長投資枠）","メタプラネット 3350","売却","100","60,300","603","298","+30,500"
"2025/5/13","特定","ソシオネクスト 6526","売却","100","190,000","1,900","1,818","+8,200"
"2025/5/9","NISA（成長投資枠）","メタプラネット 3350","売却","10","5,500","550","298","+2,520"
"2025/5/9","NISA（成長投資枠）","上新電機 8173","売却","1","2,230","2,230","2,523","-293"
"2025/5/8","NISA（成長投資枠）","メタプラネット 3350","売却","100","51,000","510","298","+21,200"
"2025/3/21","特定","メタプラネット 3350","売却","100","495,300","4,953","4,917","+3,600"
"2025/3/21","特定","ディー・エヌ・エー 2432","売却","200","681,000","3,405","3,342","+12,600"
"2025/3/18","特定","ディー・エヌ・エー 2432","売却","200","670,100","3,350.5","3,342","+1,700"
"2025/2/28","NISA（成長投資枠）","メタプラネット 3350","売却","200","520,000","2,600","2,358","+48,400"
"2025/2/25","特定","リミックスポイント 3825","売却","500","270,000","540","376","+82,000"
"2025/1/22","特定","リミックスポイント 3825","売却","400","212,000","530","376","+61,600"
"2024/11/18","特定","リミックスポイント 3825","売却","100","25,140","251.4","252","-60"
"2024/11/18","特定","リミックスポイント 3825","売却","200","50,300","251.5","252","-100"
"2024/11/18","特定","リミックスポイント 3825","売却","200","50,240","251.2","252","-160"
"2024/11/8","NISA（成長投資枠）","日本電信電話 9432","売却","100","15,300","153","152","+100"
"2024/11/5","NISA（成長投資枠）","メタプラネット 3350","売却","100","156,000","1,560","1,350","+21,000"
"2024/8/28","NISA（成長投資枠）","ラストワンマイル 9252","売却","1","3,215","3,215","3,265","-50"
"2024/5/31","NISA（成長投資枠）","日本電信電話 9432","売却","2,900","446,890","154.1","152","+6,090"

