"米国株式"

"検索件数","34"
"約定日","2023/6/25-2026/5/18"
"口座","すべて"
"円換算表示"
"合計(円)","+1,128,671"
"利益(円)","+1,151,168"
"損失(円)","-22,497"

"約定日","口座","国","銘柄名/ティッカー","取引","数量","売却額","単価","平均取得価額","実現損益(税引前・円)"
"2026/5/14","NISA（成長投資枠）","米国","マイクロン テクノロジー MU","売却","1","125,512","125,512","59,436","+66,076"
"2026/4/24","NISA（成長投資枠）","米国","アングロゴールド アシャンテ AU","売却","22","339,593","15,436.04","14,379","+23,255"
"2026/2/27","NISA（成長投資枠）","米国","エクソン モービル XOM","売却","15","341,959","22,797.26","21,617","+17,704"
"2026/1/30","特定","米国","メタ プラットフォームズ A META","売却","6","656,427","109,948.66","109,139","+1,593"
"2026/1/27","NISA（成長投資枠）","米国","パランティア テクノロジーズ A PLTR","売却","44","1,146,908","26,066.09","13,624","+547,452"
"2025/12/3","特定","米国","メタ プラットフォームズ A META","売却","1","98,492","98,981","109,139","-10,647"
"2025/11/25","NISA（成長投資枠）","米国","ソーファイ テクノロジーズ A SOFI","売却","217","805,006","3,709.7","2,878","+180,480"
"2025/10/22","特定","米国","マイクロバスト ホールディングス MVST","売却","150","130,469","874.11","495","+56,219"
"2025/10/17","特定","米国","マイクロバスト ホールディングス MVST","売却","150","155,865","1,044.26","495","+81,615"
"2025/9/16","特定","米国","アリスタ ネットワークス ANET","売却","5","104,885","21,081.2","21,113","-680"
"2025/8/18","NISA（成長投資枠）","米国","テスラ TSLA","売却","6","294,465","49,077.5","40,434","+51,861"
"2025/8/13","特定","米国","カナン ADR CAN","売却","900","97,312","108.66","113","-4,388"
"2025/7/29","NISA（成長投資枠）","米国","サークル インターネット グループ CRCL","売却","11","308,211","28,019.18","25,891","+23,410"
"2025/7/17","NISA（成長投資枠）","米国","アップラビン A APP","売却","6","312,337","52,056.16","50,885","+7,027"
"2025/6/17","特定","米国","シールSQ コーポ LAES","売却","180","104,773","584.96","586","-707"
"2025/6/17","特定","米国","ナビタス セミコンダクター NVTS","売却","50","53,404","1,073.38","817","+12,554"
"2025/6/5","特定","米国","ナビタス セミコンダクター NVTS","売却","50","47,950","963.76","817","+7,100"
"2025/5/28","NISA（成長投資枠）","米国","IonQ Inc IONQ","売却","1","6,580","6,580","5,207","+1,373"
"2025/5/28","NISA（成長投資枠）","米国","サウンドハウンド AI A SOUN","売却","1","1,502","1,502","1,743","-241"
"2025/5/28","特定","米国","ロケット ラボ コーポレーション RKLB","売却","1","3,930","3,948","3,629","+301"
"2025/5/14","特定","米国","オクロ A OKLO","売却","22","99,239","4,533.27","4,691","-3,963"
"2025/5/7","特定","米国","Direxionデイリー半導体株ブル3倍ETF SOXL","売却","55","97,163","1,775.36","1,534","+12,793"
"2025/5/7","特定","米国","Direxionデイリー半導体株ブル3倍ETF SOXL","売却","20","37,593","1,888.95","1,534","+6,913"
"2025/5/7","特定","米国","Direxionデイリー半導体株ブル3倍ETF SOXL","売却","40","74,621","1,874.77","1,534","+13,261"
"2025/5/7","特定","米国","Direxionデイリー半導体株ブル3倍ETF SOXL","売却","30","55,965","1,874.76","1,534","+9,945"
"2025/4/3","特定","米国","Direxionデイリー半導体株ブル3倍ETF SOXL","売却","100","230,620","2,317.67","2,243","+6,320"
"2025/2/28","NISA（成長投資枠）","米国","スーパー マイクロ コンピューター SMCI","売却","11","76,862","6,987.45","6,372","+6,770"
"2025/2/19","NISA（成長投資枠）","米国","マイクロソフト MSFT","売却","1","61,748","61,748","63,619","-1,871"
"2025/1/29","特定","米国","レッドワイヤー RDW","売却","1","3,364","3,379","2,017","+1,347"
"2025/1/29","特定","米国","インテュイティヴ マシーンズ A LUNR","売却","1","3,264","3,279","1,937","+1,327"
"2025/1/22","NISA（成長投資枠）","米国","マイクロストラテジー A MSTR","売却","2","123,627","61,813.5","61,685","+257"
"2024/12/23","特定","米国","IonQ Inc IONQ","売却","19","113,834","6,021.05","5,388","+11,462"
"2024/11/20","NISA（成長投資枠）","米国","エコペトロール ADR EC","売却","7","8,763","1,251.85","1,250","+13"
"2024/11/19","NISA（成長投資枠）","米国","エヌビディア NVDA","売却","1","21,128","21,128","18,388","+2,740"

