
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2024年01月19日","2026年05月18日","102","1","102"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2024/05/02","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",14212,28145,--,--,"2024/05/09",40000
"2024/05/17","上新電機","8173","--",株式現物買,"--"," NISA(成) ","--",1,2523,--,--,"2024/05/21",2523
"2024/05/17","ラストワンマイル","9252","--",株式現物買,"--"," NISA(成) ","--",1,3265,--,--,"2024/05/21",3265
"2024/05/20","日本電信電話","9432","東証",株式現物買,"--"," NISA(成) ","--",3000,152,--,--,"2024/05/22",456000
"2024/05/31","日本電信電話","9432","PTS（X）",株式現物売,"--"," NISA(成) ","非課税",2900,154.1,--,--,"2024/06/04",446890
"2024/06/03","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",85584,55024,--,--,"2024/06/06",470916
"2024/06/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",13453,29734,--,--,"2024/06/07",40000
"2024/06/27","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",32388,61752,--,--,"2024/07/02",200000
"2024/07/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",21748,32188,--,--,"2024/07/09",70000
"2024/07/11","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",67185,67148,--,--,"2024/07/17",451131
"2024/08/06","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",18457,27091,--,--,"2024/08/09",50000
"2024/08/07","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",3913,51123,--,--,"2024/08/13",20000
"2024/08/13","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額買付,"--"," NISA(成) ","--",5936,52918,--,--,"2024/08/16",31408
"2024/08/28","ラストワンマイル","9252","--",株式現物売,"--"," NISA(成) ","非課税",1,3215,--,--,"2024/08/30",3215
"2024/09/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",17245,28995,--,--,"2024/09/09",50000
"2024/09/11","ｉＦｒｅｅレバレッジ　ＮＡＳＤＡＱ１００",,,投信金額買付,"--"," 特定/一般 ","--",8426,37293,--,--,"2024/09/17",31421
"2024/10/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",16561,30192,--,--,"2024/10/09",50000
"2024/10/29","メタプラネット","3350","東証",株式現物買,"--"," NISA(成) ","--",100,1350,--,--,"2024/10/31",135000
"2024/11/05","メタプラネット","3350","PTS（J）",株式現物売,"--"," NISA(成) ","非課税",100,1560,--,--,"2024/11/07",156000
"2024/11/06","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",15659,31931,--,--,"2024/11/11",50000
"2024/11/08","日本電信電話","9432","東証",株式現物売,"--"," NISA(成) ","非課税",100,153,--,--,"2024/11/12",15300
"2024/11/18","リミックスポイント","3825","PTS（J）",株式現物売,"--"," 特定 ","申告",200,251.2,--,--,"2024/11/21",50240
"2024/11/18","リミックスポイント","3825","PTS（J）",株式現物売,"--"," 特定 ","申告",100,251.4,--,--,"2024/11/21",25140
"2024/11/18","リミックスポイント","3825","PTS（J）",株式現物売,"--"," 特定 ","申告",200,251.5,--,--,"2024/11/21",50300
"2024/11/18","リミックスポイント","3825","PTS（J）",株式現物買,"--"," 特定 ","--",500,251.8,--,--,"2024/11/21",125900
"2024/11/20","メタプラネット","3350","東証",株式現物買,"--"," NISA(成) ","--",100,2235,--,--,"2024/11/22",223500
"2024/11/22","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額解約,"--"," NISA(成) ","非課税",45985,65238,--,--,"2024/11/27",300000
"2024/11/22","ｉＦｒｅｅレバレッジ　ＮＡＳＤＡＱ１００",,,投信金額解約,"--"," 特定 ","--",8426,44180,--,--,"2024/11/27",37226
"2024/11/26","メタプラネット","3350","東証",株式現物買,"--"," NISA(成) ","--",100,2480,--,--,"2024/11/28",248000
"2024/12/04","メタプラネット","3350","--",株式現物買,"--"," NISA(成) ","--",1,2297,--,--,"2024/12/06",2297
"2024/12/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",15254,32779,--,--,"2024/12/09",50000
"2024/12/11","リミックスポイント","3825","東証",株式現物買,"--"," 特定 ","--",200,398,--,--,"2024/12/13",79600
"2024/12/13","リミックスポイント","3825","東証",株式現物買,"--"," 特定 ","--",200,392,--,--,"2024/12/17",78400
"2024/12/19","リミックスポイント","3825","東証",株式現物買,"--"," 特定 ","--",200,356,--,--,"2024/12/23",71200
"2024/12/19","リミックスポイント","3825","東証",株式現物買,"--"," 特定 ","--",300,363,--,--,"2024/12/23",108900
"2025/01/07","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",14609,34226,--,--,"2025/01/10",50000
