通貨指定,商品指定,期間（国内約定日）開始,期間（国内約定日）終了,明細数
"すべての通貨","すべての商品","2021年01月01日","2026年05月19日","89"
国内約定日,通貨,銘柄名,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2026年05月14日","米国ドル","マイクロン テクノロジー MU / NASDAQ","売却","NISA","1","800","26/05/18","800"
"2026年04月24日","米国ドル","アングロゴールド アシャンテ AU / New York Stock Exchange","売却","NISA","22","97.18","26/04/28","2137.96"
"2026年03月27日","米国ドル","エヌビディア NVDA / NASDAQ","買付","NISA","10","174.5","26/03/31","1745"
"2026年02月27日","米国ドル","エクソン モービル XOM / New York Stock Exchange","売却","NISA","15","147.26","26/03/03","2208.9"
"2026年02月04日","米国ドル","マイクロン テクノロジー MU / NASDAQ","買付","NISA","5","413","26/02/06","2065"
"2026年02月02日","米国ドル","アングロゴールド アシャンテ AU / New York Stock Exchange","買付","NISA","22","92","26/02/04","2024"
"2026年01月30日","米国ドル","メタ プラットフォームズ A META / NASDAQ","売却","特定","6","720.22","26/02/03","4299.93"
"2026年01月30日","米国ドル","エクソン モービル XOM / New York Stock Exchange","買付","NISA","15","139.77","26/02/03","2096.55"
"2026年01月27日","米国ドル","パランティア テクノロジーズ A PLTR / NASDAQ","売却","NISA","44","170","26/01/29","7480"
"2026年01月16日","米国ドル","マイクロン テクノロジー MU / NASDAQ","買付","NISA","5","338","26/01/20","1690"
"2025年12月12日","米国ドル","オクロ A OKLO / New York Stock Exchange","買付","NISA","1","96","25/12/16","96"
"2025年12月10日","米国ドル","IonQ Inc IONQ / New York Stock Exchange","買付","NISA","1","53.8","25/12/12","53.8"
"2025年12月03日","米国ドル","メタ プラットフォームズ A META / NASDAQ","売却","特定","1","639.25","25/12/05","636.09"
"2025年12月03日","米国ドル","オラクル ORCL / New York Stock Exchange","買付","特定","1","205.5","25/12/05","206.51"
"2025年12月03日","米国ドル","メタ プラットフォームズ A META / NASDAQ","買付","特定","1","639","25/12/05","642.16"
"2025年11月25日","米国ドル","ソーファイ テクノロジーズ A SOFI / NASDAQ","売却","NISA","217","23.8","25/11/27","5164.6"
"2025年11月21日","米国ドル","メタ プラットフォームズ A META / NASDAQ","買付","特定","1","601","25/11/26","603.97"
